Date,CustomerID,InvoiceID,ProductID,ProductName,Category,SubCategory,City,State,Zone,Qty,Rate,Amount,DiscountPct,NetAmount,PaymentMethod,SalesChannel
2023-12-06,CUST0397,INV100127,PROD0195,Product 195,Personal Care,Shampoo,Mumbai,Maharashtra,West,14,195.63,2738.82,0,2738.82,Net Banking,Retail
2024-12-14,CUST0046,INV100128,PROD0025,Product 25,Produce,Herbs,Indore,Madhya Pradesh,Central,10,36.17,361.7,0,361.7,Net Banking,Distributor
2023-07-01,CUST0243,INV100129,PROD0036,Product 36,Bakery,Cake,Bengaluru,Karnataka,South,8,145.3,1162.4,0,1162.4,Cash,Online
2024-02-16,CUST0363,INV100130,PROD0111,Product 111,Dairy,Yogurt,Delhi,Delhi,North,22,181.39,3990.58,12.5,3491.76,Card,Online
2024-06-20,CUST0103,INV100131,PROD0059,Product 59,Bakery,Bread,Surat,Gujarat,West,11,228.78,2516.58,0,2516.58,Net Banking,Retail
2023-06-22,CUST0132,INV100132,PROD0006,Product 6,Beverages,Water,Pune,Maharashtra,West,12,135.26,1623.12,10,1460.81,Cash,Retail
2023-01-29,CUST0001,INV100133,PROD0136,Product 136,Beverages,Tea,Surat,Gujarat,West,12,83.79,1005.48,5,955.21,Net Banking,Online
2023-07-06,CUST0410,INV100134,PROD0146,Product 146,Bakery,Bread,Chennai,Tamil Nadu,South,5,24.81,124.05,0,124.05,Card,Distributor
2024-08-10,CUST0275,INV100135,PROD0056,Product 56,Bakery,Bread,Hyderabad,Telangana,South,13,196.3,2551.9,10,2296.71,Wallet,Online
2025-08-15,CUST0091,INV100136,PROD0113,Product 113,Personal Care,Shampoo,Patna,Bihar,East,22,126.15,2775.3,10,2497.77,UPI,Retail
2024-08-27,CUST0276,INV100137,PROD0031,Product 31,Dairy,Butter,Bengaluru,Karnataka,South,4,94.29,377.16,0,377.16,Cash,Wholesale
2024-09-19,CUST0266,INV100138,PROD0043,Product 43,Snacks,Chocolates,Kolkata,West Bengal,East,7,79.04,553.28,0,553.28,Wallet,Wholesale
2023-12-13,CUST0472,INV100139,PROD0087,Product 87,Electronics,Adapter,Patna,Bihar,East,22,1466.09,32253.98,5,30641.28,UPI,Retail
2023-02-12,CUST0127,INV100140,PROD0094,Product 94,Personal Care,Shampoo,Vadodara,Gujarat,West,23,122.68,2821.64,0,2821.64,Card,Distributor
2025-07-22,CUST0184,INV100141,PROD0016,Product 16,Electronics,Earphones,Visakhapatnam,Andhra Pradesh,South,15,994.94,14924.1,0,14924.1,UPI,Online
2023-05-19,CUST0270,INV100142,PROD0145,Product 145,Produce,Herbs,Kolkata,West Bengal,East,22,89.34,1965.48,0,1965.48,Cash,Online
2024-01-22,CUST0230,INV100143,PROD0196,Product 196,Household,Tissue,Bhopal,Madhya Pradesh,Central,4,108.12,432.48,0,432.48,Net Banking,Distributor
2024-09-16,CUST0043,INV100144,PROD0126,Product 126,Beverages,Soda,Bengaluru,Karnataka,South,17,45.95,781.15,10,703.04,Cash,Distributor
2023-07-12,CUST0200,INV100145,PROD0079,Product 79,Electronics,Power Bank,Pune,Maharashtra,West,20,1121.62,22432.4,12.5,19628.35,Wallet,Retail
2023-02-18,CUST0485,INV100146,PROD0023,Product 23,Dairy,Cheese,Surat,Gujarat,West,14,179.57,2513.98,0,2513.98,UPI,Retail
2025-04-23,CUST0495,INV100147,PROD0078,Product 78,Produce,Fruits,Nagpur,Maharashtra,West,6,75.84,455.04,12.5,398.16,Wallet,Retail
2024-06-04,CUST0423,INV100148,PROD0176,Product 176,Produce,Herbs,Visakhapatnam,Andhra Pradesh,South,21,85.15,1788.15,0,1788.15,Wallet,Wholesale
2025-07-02,CUST0190,INV100149,PROD0175,Product 175,Beverages,Coffee,Bengaluru,Karnataka,South,6,98.31,589.86,0,589.86,Net Banking,Wholesale
2024-08-07,CUST0114,INV100150,PROD0183,Product 183,Bakery,Bread,Kolkata,West Bengal,East,10,188.01,1880.1,0,1880.1,Net Banking,Wholesale
2025-08-04,CUST0328,INV100151,PROD0157,Product 157,Beverages,Tea,Indore,Madhya Pradesh,Central,18,59.65,1073.7,0,1073.7,Card,Retail
2024-01-16,CUST0149,INV100152,PROD0002,Product 2,Household,Tissue,Chennai,Tamil Nadu,South,10,141.86,1418.6,5,1347.67,Net Banking,Wholesale
2024-09-28,CUST0470,INV100153,PROD0103,Product 103,Beverages,Coffee,Hyderabad,Telangana,South,18,90.22,1623.96,0,1623.96,Wallet,Wholesale
2025-08-20,CUST0343,INV100154,PROD0067,Product 67,Produce,Herbs,Nashik,Maharashtra,West,1,31.56,31.56,5,29.98,Cash,Wholesale
2024-01-22,CUST0450,INV100155,PROD0168,Product 168,Dairy,Yogurt,Mumbai,Maharashtra,West,2,31.67,63.34,0,63.34,Net Banking,Distributor
2023-02-12,CUST0143,INV100156,PROD0049,Product 49,Electronics,Power Bank,Thane,Maharashtra,West,11,1805.86,19864.46,0,19864.46,UPI,Distributor
2023-04-29,CUST0357,INV100157,PROD0197,Product 197,Electronics,Charger,Ahmedabad,Gujarat,West,1,296.52,296.52,0,296.52,UPI,Retail
2025-01-27,CUST0082,INV100158,PROD0126,Product 126,Snacks,Biscuits,Kanpur,Uttar Pradesh,North,9,32.82,295.38,5,280.61,Cash,Wholesale
2025-05-26,CUST0132,INV100159,PROD0175,Product 175,Produce,Vegetables,Kanpur,Uttar Pradesh,North,24,146.51,3516.24,0,3516.24,Cash,Online
2024-07-22,CUST0292,INV100160,PROD0067,Product 67,Snacks,Chips,Indore,Madhya Pradesh,Central,20,30.31,606.2,0,606.2,Card,Retail
2024-05-05,CUST0434,INV100161,PROD0128,Product 128,Household,Cleaner,Visakhapatnam,Andhra Pradesh,South,14,101.93,1427.02,0,1427.02,UPI,Distributor
2025-02-19,CUST0056,INV100162,PROD0029,Product 29,Household,Detergent,Indore,Madhya Pradesh,Central,16,245.42,3926.72,0,3926.72,Card,Retail
2025-01-26,CUST0356,INV100163,PROD0018,Product 18,Household,Air Freshener,Thane,Maharashtra,West,4,265.04,1060.16,12.5,927.64,Cash,Distributor
2023-02-14,CUST0074,INV100164,PROD0114,Product 114,Beverages,Water,Kolkata,West Bengal,East,16,77.87,1245.92,12.5,1090.18,Card,Online
2024-04-18,CUST0292,INV100165,PROD0004,Product 4,Personal Care,Toothpaste,Jaipur,Rajasthan,North,9,255.39,2298.51,10,2068.66,Card,Online
2024-06-01,CUST0103,INV100166,PROD0165,Product 165,Beverages,Soda,Indore,Madhya Pradesh,Central,22,101.53,2233.66,0,2233.66,Card,Online
2025-06-11,CUST0033,INV100167,PROD0058,Product 58,Personal Care,Shampoo,Surat,Gujarat,West,12,255.45,3065.4,0,3065.4,Net Banking,Retail
2024-07-14,CUST0226,INV100168,PROD0018,Product 18,Household,Tissue,Kanpur,Uttar Pradesh,North,21,118.32,2484.72,5,2360.48,Card,Wholesale
2024-09-25,CUST0494,INV100169,PROD0082,Product 82,Beverages,Tea,Delhi,Delhi,North,1,78.46,78.46,0,78.46,Net Banking,Retail
2024-12-01,CUST0369,INV100170,PROD0044,Product 44,Bakery,Bun,Pune,Maharashtra,West,23,94.91,2182.93,10,1964.64,Card,Retail
2025-02-26,CUST0120,INV100171,PROD0002,Product 2,Produce,Fruits,Nashik,Maharashtra,West,6,112.57,675.42,10,607.88,UPI,Distributor
